city,county,state,ev_count,bev_count,phev_count,bev_ratio,phev_ratio,required_chargers,high_demand,centroid_lat,centroid_lon
Mount Vernon,Skagit,WA,969,767,202,0.7915376676986584,0.2084623323013416,49,1,48.41608421052632,-122.33190368421052
Mountain View,Santa Clara,CA,2,2,0,1.0,0.0,1,0,37.3787,-122.076065
Mountlake Terrace,Snohomish,WA,668,549,119,0.8218562874251497,0.1781437125748503,34,1,47.78803,-122.31111
Moxee,Yakima,WA,47,34,13,0.723404255319149,0.2765957446808511,3,1,46.55724042553192,-120.39442361702127
Moyock,Currituck,NC,1,1,0,1.0,0.0,1,0,36.52287,-76.17614
Mukilteo,Snohomish,WA,1081,903,178,0.8353376503237743,0.16466234967622573,55,1,47.89908,-122.29196
Murdock,Klickitat,WA,6,4,2,0.6666666666666666,0.3333333333333333,1,0,45.680955000000004,-121.26208666666666
Murrieta,Riverside,CA,1,1,0,1.0,0.0,1,0,33.55015,-117.15952
Mystic,New London,CT,1,1,0,1.0,0.0,1,0,41.35061,-71.96032
Naches,Yakima,WA,36,24,12,0.6666666666666666,0.3333333333333333,2,0,46.72507833333333,-120.69233111111112
Nahcotta,Pacific,WA,5,3,2,0.6,0.4,1,0,46.49147,-124.04987000000001
Napavine,Lewis,WA,9,4,5,0.4444444444444444,0.5555555555555556,1,0,46.60485333333334,-122.92695333333333
Naselle,Pacific,WA,16,7,9,0.4375,0.5625,1,0,46.36545,-123.81154
Naselle,Wahkiakum,WA,6,4,2,0.6666666666666666,0.3333333333333333,1,0,46.36545,-123.81154
Nashville,Davidson,TN,1,1,0,1.0,0.0,1,0,36.11864,-86.78371
National City,San Diego,CA,2,2,0,1.0,0.0,1,0,32.67218,-117.10558
Neah Bay,Clallam,WA,8,6,2,0.75,0.25,1,0,48.36778,-124.62735
Nespelem,Okanogan,WA,1,1,0,1.0,0.0,1,0,48.16636,-118.97665
New York,New York,NY,3,3,0,1.0,0.0,1,0,40.77318666666667,-73.97636333333334
Newcastle,King,WA,1237,1085,152,0.8771220695230396,0.12287793047696038,62,1,47.494136087308,-122.16768270008085
Newington,Hartford,CT,1,1,0,1.0,0.0,1,0,41.69555,-72.71909
Newman Lake,Spokane,WA,60,40,20,0.6666666666666666,0.3333333333333333,3,1,47.724517666666664,-117.07025766666668
Newport,Lincoln,OR,1,1,0,1.0,0.0,1,0,44.63233,-124.05766
Newport,Newport,RI,1,0,1,0.0,1.0,1,0,41.49256,-71.31089
Newport,Pend Oreille,WA,58,47,11,0.8103448275862069,0.1896551724137931,3,1,48.18285,-117.04398
Niceville,Okaloosa,FL,1,0,1,0.0,1.0,1,0,30.52064,-86.48681
Nine Mile Falls,Spokane,WA,74,55,19,0.7432432432432432,0.25675675675675674,4,1,47.77429445945946,-117.54292054054054
Nine Mile Falls,Stevens,WA,83,65,18,0.7831325301204819,0.21686746987951808,5,1,47.77676,-117.54392
Nooksack,Whatcom,WA,14,13,1,0.9285714285714286,0.07142857142857142,1,0,48.92857,-122.32181
Nordland,Jefferson,WA,62,53,9,0.8548387096774194,0.14516129032258066,4,1,48.05105,-122.69107
Normandy Park,King,WA,341,266,75,0.7800586510263929,0.21994134897360704,18,1,47.46317809384165,-122.34013187683284
North Bend,King,WA,993,834,159,0.8398791540785498,0.16012084592145015,50,1,47.493649587109765,-121.78330755287008
