County,City,VIN (1-10)_count,Electric Range_mean,Electric Range_std,Electric Range_min,Electric Range_max,Base MSRP_mean,Base MSRP_std,Base MSRP_min,Base MSRP_max,Model Year_mean,Model Year_min,Model Year_max,Longitude_mean,Latitude_mean,Vehicle Age_mean,EV_Count,Avg_Range,Range_Std,Avg_MSRP,Avg_Age,Charging_Score,BEV_Ratio,PHEV_Ratio,Make_Diversity,Distance_From_Seattle,Distance_From_Spokane,County_Encoded,EV_Density_Category
Stevens,Tumtum,1,215.0,,215.0,215.0,,,,,2021.0,2021,2021,-117.6702,47.8927,3.0,1,215.0,0.0,,3.0,,1.0,0.0,1,4.670695222341105,0.33814619619329667,197,Low
Stevens,Valley,11,156.4545,91.324,6.0,249.0,69900.0,,69900.0,69900.0,2020.3636,2012,2024,-117.7255,48.1762,3.6364,11,156.4545,91.324,69900.0,3.6364,5.82,0.7272727272727273,0.2727272727272727,5,4.641730664310457,0.597831924540668,197,Medium
Stevens,Wellpinit,2,21.0,0.0,21.0,21.0,,,,,2024.0,2024,2024,-117.987,47.8868,0.0,2,21.0,0.0,,0.0,,0.0,1.0,1,4.354150935601569,0.6055617227004962,197,Low
Suffolk,Boston,2,123.5,129.4005,32.0,215.0,39995.0,,39995.0,39995.0,2022.0,2022,2022,-71.061,42.3601,2.0,2,123.5,129.4005,39995.0,2.0,2.61,0.5,0.5,2,51.53879374238399,46.66679169055871,198,Low
Suffolk,Hyde Park,1,220.0,,220.0,220.0,,,,,2019.0,2019,2019,-71.1239,42.2564,5.0,1,220.0,0.0,,5.0,,1.0,0.0,1,51.486892577431774,46.616203086158784,198,Low
Suffolk,Suffolk,2,114.5,142.1285,14.0,215.0,54950.0,,54950.0,54950.0,2018.0,2018,2018,-76.4205,36.877,6.0,2,114.5,142.1285,54950.0,6.0,2.08,0.5,0.5,2,47.14860281280877,42.39927170942916,198,Low
Sussex,Stanhope,1,84.0,,84.0,84.0,,,,,2016.0,2016,2016,-74.7089,40.9035,8.0,1,84.0,0.0,,8.0,,1.0,0.0,1,48.092570793522775,43.24794458121681,199,Low
Talladega,Talladega,1,21.0,,21.0,21.0,,,,,2024.0,2024,2024,-86.1024,33.4346,0.0,1,21.0,0.0,,0.0,,0.0,1.0,1,38.90276865018735,34.40197352769169,200,Low
Tarrant,Southlake,1,220.0,,220.0,220.0,,,,,2019.0,2019,2019,-97.1312,32.9426,5.0,1,220.0,0.0,,5.0,,1.0,0.0,1,29.156586318874844,25.068814281493246,201,Low
Texas,Summersville,1,215.0,,215.0,215.0,,,,,2018.0,2018,2018,-91.6568,37.1796,6.0,1,215.0,0.0,,6.0,,1.0,0.0,1,32.39888914222214,27.818434558400295,202,Low
Thurston,Bucoda,3,167.6667,81.9837,73.0,215.0,,,,,2019.3333,2012,2024,-122.8689,46.7982,4.6667,3,167.6667,81.9837,,4.6667,,1.0,0.0,3,0.9700609465389272,5.510516561085715,203,Low
Thurston,Centralia,24,179.7917,81.2147,21.0,322.0,,,,,2021.0,2013,2024,-122.9527,46.729,3.0,24,179.7917,81.2147,,3.0,,0.7916666666666666,0.20833333333333334,6,1.0745344108031154,5.604368022355411,203,Medium
Thurston,Lacey,1414,169.4908,82.4391,6.0,330.0,56575.9877,20241.225,31950.0,184400.0,2021.7723,2011,2026,-122.793,47.0525,2.2277,1414,169.4908,82.4391,56575.9877,2.2277,567.23,0.7673267326732673,0.23267326732673269,34,0.7204252216573264,5.401137721813807,203,Very High
Thurston,Oakville,2,117.0,138.5929,19.0,215.0,,,,,2019.0,2015,2023,-123.2329,46.8408,5.0,2,117.0,138.5929,,5.0,,0.5,0.5,2,1.1820650574312763,5.8642315447124,203,Low
Thurston,Olympia,5956,167.4788,82.8687,6.0,337.0,57152.1329,17695.6894,31950.0,184400.0,2021.2446,2000,2026,-122.8753,47.037,2.7554,5956,167.4788,82.8687,57152.1329,2.7554,2383.98,0.7657824042981867,0.2342175957018133,35,0.7868004067106226,5.484660949411543,203,Very High
Thurston,Rainier,83,151.6145,90.5822,17.0,291.0,54947.5,17265.6598,39995.0,69900.0,2021.3494,2013,2025,-122.6899,46.889,2.6506,83,151.6145,90.5822,54947.5,2.6506,34.78,0.6746987951807228,0.3253012048192771,22,0.8014965252575932,5.319890529888742,203,High
Thurston,Rochester,152,162.7105,83.6117,6.0,291.0,48539.2857,14592.1458,39995.0,69900.0,2021.2105,2012,2026,-123.0874,46.8218,2.7895,152,162.7105,83.6117,48539.2857,2.7895,62.43,0.7302631578947368,0.26973684210526316,21,1.0889267422558806,5.722937965765486,203,Very High
Thurston,Tenino,124,159.8548,86.9463,14.0,322.0,67966.6667,14199.061,52900.0,81100.0,2020.7661,2011,2025,-122.8514,46.8575,3.2339,124,159.8548,86.9463,67966.6667,3.2339,51.06,0.7338709677419355,0.2661290322580645,19,0.9111663843667634,5.484254447962818,203,Very High
Thurston,Tumwater,959,168.1303,82.8451,6.0,322.0,56729.875,13902.6737,31950.0,69900.0,2021.0876,2011,2026,-122.8997,47.0299,2.9124,959,168.1303,82.8451,56729.875,2.9124,385.16,0.7570385818561001,0.2429614181438999,29,0.8088828407130432,5.509710237389979,203,Very High
