County,City,EV_Count,Avg_Range,Avg_MSRP,Longitude,Latitude,Charging_Score
Lewis,Mossyrock,40,173.4,61328.5714,-122.4845,46.5295,20.85
King,Preston,39,170.5897,62110.0,-122.0049,47.5361,20.33
Skamania,Underwood,39,143.3846,54538.0,-121.5236,45.729,20.3
Grant,Mattawa,38,178.7368,69900.0,-119.9001,46.7378,19.82
Grays Harbor,Westport,38,136.6579,64233.3333,-124.1042,46.8911,19.72
Pacific,Surfside,37,136.2162,55566.6667,-124.0499,46.4915,19.27
Pierce,Vaughn,36,184.9722,69900.0,-122.7636,47.3435,18.84
Whatcom,Custer,36,160.2222,59931.6667,-122.6422,48.9186,18.81
Yakima,Naches,36,154.3611,60759.0,-120.6923,46.7251,18.79
Lewis,Packwood,36,156.5833,67425.0,-121.6852,46.606,18.77
Kittitas,Snoqualmie Pass,35,169.6571,48600.0,-121.412,47.4187,18.42
Jefferson,Brinnon,35,183.7143,54947.5,-122.8965,47.6984,18.42
Cowlitz,Silverlake,34,178.3235,64233.3333,-122.8112,46.2969,17.85
Grays Harbor,Pacific Beach,34,165.8824,60412.5,-124.2018,47.2089,17.83
Chelan,Entiat,34,176.0294,69900.0,-120.2083,47.6756,17.81
Grays Harbor,Oakville,34,132.4412,58977.0,-123.2329,46.8408,17.74
King,Milton,33,168.303,54947.5,-122.3217,47.249,17.37
Clark,Amboy,33,190.7576,69900.0,-122.4215,45.9196,17.36
Chelan,Malaga,33,187.8485,69900.0,-120.2023,47.3724,17.35
Stevens,Kettle Falls,33,159.3333,54947.5,-118.0621,48.6105,17.34
Yakima,Wapato,32,184.6562,58900.0,-120.4208,46.4478,16.89
Grant,Soap Lake,31,124.9677,52615.0,-119.4832,47.389,16.26
Yakima,Toppenish,30,216.4667,68471.4286,-120.313,46.3751,15.94
Kittitas,Roslyn,30,185.1667,52162.5,-120.9981,47.2267,15.94
Grant,Royal City,30,180.0,56936.25,-119.6314,46.9025,15.89
Whitman,Palouse,29,140.6207,31950.0,-117.0768,46.9101,15.55
Okanogan,Omak,29,105.9655,47471.25,-119.5272,48.4108,15.24
Pierce,Longbranch,28,161.7857,36800.0,-122.759,47.2145,15.03
Okanogan,Mazama,28,185.8929,64233.3333,-120.4081,48.5941,14.87
Lincoln,Davenport,28,147.8571,47472.5,-118.1491,47.654,14.86
Clallam,Forks,28,147.8214,58566.6667,-124.3854,47.9501,14.78
Spokane,Elk,27,166.4074,54947.5,-117.2782,48.0172,14.36
Stevens,Chewelah,27,153.7037,57000.0,-117.7156,48.2814,14.31
Klickitat,Lyle,27,145.6667,86975.0,-121.2854,45.6939,14.17
Grays Harbor,Cosmopolis,26,150.5385,39995.0,-123.769,46.9541,13.95
Skamania,Carson,26,171.2692,67425.0,-121.8205,45.7256,13.81
Cowlitz,Ariel,25,158.24,69900.0,-122.5366,45.9897,13.26
Franklin,Connell,24,206.3333,69900.0,-118.8606,46.6615,12.91
Kittitas,Easton,24,199.7083,69900.0,-121.1795,47.2378,12.89
Klickitat,Husum,24,146.0833,52900.0,-121.487,45.7278,12.82
Whatcom,Sumas,23,154.6957,39995.0,-122.265,48.9998,12.46
Douglas,Rock Island,23,162.1304,46447.5,-120.1454,47.3716,12.42
Whatcom,Glacier,23,193.1304,67000.0,-122.2172,48.8265,12.38
Columbia,Dayton,23,190.4348,69900.0,-117.9758,46.3219,12.36
Okanogan,Tonasket,23,116.8261,39995.0,-119.4368,48.7086,12.35
Klickitat,Snowden,23,135.1304,52900.0,-121.487,45.7278,12.28
Pierce,Enumclaw,23,163.7391,68910.0,-121.9914,47.2043,12.28
Stevens,Loon Lake,23,147.8261,69900.0,-117.6373,48.0629,12.23
Lewis,Morton,22,180.9091,54947.5,-122.2751,46.5554,11.91
Yakima,Union Gap,21,160.4762,81100.0,-120.4778,46.5535,11.23
Pacific,Ilwaco,20,111.1,48313.3333,-124.0355,46.3088,10.75
Skagit,Sedro Woolley,19,160.6316,39995.0,-122.2386,48.5086,10.48
Yakima,Tieton,19,198.2105,69900.0,-120.7525,46.7041,10.38
Yakima,Outlook,19,169.5263,58281.6667,-120.0851,46.3294,10.35
Grant,Coulee City,18,199.0556,69900.0,-119.2882,47.6123,9.88
Skamania,North Bonneville,18,182.2222,69900.0,-121.97,45.6412,9.83
Klickitat,Dallesport,18,174.2222,69900.0,-121.1687,45.6292,9.81
San Diego,San Diego,17,169.6471,59931.6667,-117.1628,32.7308,9.34
Ferry,Republic,17,158.7059,69900.0,-118.7375,48.6443,9.26
Lewis,Mineral,16,192.5625,39995.0,-122.1877,46.719,9.08
Skagit,Darrington,16,216.0,69900.0,-121.6042,48.2543,8.93
Pacific,Naselle,16,124.875,39995.0,-123.8115,46.3654,8.87
El Paso,Colorado Springs,16,127.1875,49148.0,-104.7742,38.9753,8.79
San Juan,Anacortes,15,203.7333,69900.0,-122.6121,48.5175,8.4
Mason,Lilliwaup,15,196.4667,69900.0,-123.0921,47.472,8.38
Asotin,Asotin,15,190.2,69900.0,-117.0478,46.3406,8.36
Skagit,Bellingham,14,197.3571,69900.0,-122.4549,48.7449,7.88
Whatcom,Nooksack,14,196.7857,69900.0,-122.3218,48.9286,7.88
Ferry,Kettle Falls,14,162.3571,69900.0,-118.0621,48.6105,7.77
Mason,Elma,14,143.2857,69900.0,-123.4038,47.0038,7.72
Walla Walla,Touchet,13,168.7692,31950.0,-118.6692,46.0424,7.63
Walla Walla,Waitsburg,13,162.3077,39995.0,-118.1545,46.2701,7.49
Pierce,Carbonado,13,223.5385,69900.0,-122.0474,47.0804,7.46
Grays Harbor,Grayland,13,132.3077,39995.0,-124.0937,46.8093,7.4
Grant,Othello,13,174.0769,69900.0,-119.1742,46.8262,7.31
Yakima,Mabton,12,173.25,39995.0,-119.9904,46.2147,7.02
Lewis,Vader,12,127.5833,39995.0,-122.9502,46.402,6.88
San Juan,Orcas Is,12,163.5,52900.0,-122.9197,48.6757,6.87
Pacific,North Cove,12,136.8333,69900.0,-124.0459,46.7608,6.7
Pend Oreille,Cusick,11,182.8182,39995.0,-117.3044,48.3387,6.55
Franklin,Mesa,11,174.8182,39995.0,-119.005,46.5783,6.52
Jefferson,Sequim,11,115.2727,36972.5,-123.1037,48.0797,6.39
Pacific,Seaview,11,123.5455,39995.0,-124.0512,46.3336,6.37
Stevens,Valley,11,156.4545,69900.0,-117.7255,48.1762,6.26
Whatcom,Acme,11,133.7273,69900.0,-122.2035,48.7177,6.19
Okanogan,Okanogan,10,159.9,39995.0,-119.5796,48.3654,5.98
Whitman,Rosalia,10,155.8,39995.0,-117.3705,47.2344,5.97
Kittitas,Thorp,10,172.7,69900.0,-120.6545,47.046,5.8
Ferry,Curlew,9,178.5556,69900.0,-118.6006,48.881,5.32
Grays Harbor,Taholah,9,91.6667,37313.3333,-124.2863,47.3426,5.31
Yakima,Granger,9,153.5556,69900.0,-120.1871,46.3395,5.25
King,Baring,8,223.625,69900.0,-121.4849,47.7719,4.96
Douglas,Waterville,8,220.125,69900.0,-120.0714,47.6496,4.95
Klickitat,Bingen,8,191.625,53350.0,-121.4662,45.7151,4.95
King,Skykomish,8,187.0,52900.0,-121.3591,47.7119,4.94
Lewis,Glenoma,8,124.5,39995.0,-122.1302,46.5307,4.87
